ville_nom,ville_code_postal,ville_population_2012,ville_longitude_deg,ville_latitude_deg
BILLY-MONTIGNY,62420,8000,2.9,50.4167
BAGNERES-DE-BIGORRE,65200,8000,0.15,43.0667
THANN,68800,8000,7.08333,47.8167
CHAPONOST,69630,8000,4.75,45.7
DAMMARTIN-EN-GOELE,77230,8000,2.68333,49.05
CESSON,77240,8000,2.6,48.5667
NOISY-LE-ROI,78590,8000,2.06667,48.85
SAINT-REMY-LES-CHEVREUSE,78470,8000,2.08333,48.7
MAULEON,79700,8000,-0.748333,46.9236
LA FARLEDE,83210,8000,6.03333,43.1667
THAON-LES-VOSGES,88150,8000,6.41667,48.25
REMIREMONT,88200,8000,6.58333,48.0167
GOURBEYRE,97113,7949,15.9952,-61.7078
LE TEIL,7400,7900,4.68333,44.55
AIGUES-MORTES,30220,7900,4.19167,43.5667
LEGUEVIN,31490,7900,1.25,43.6
COUTRAS,33230,7900,-0.133333,45.0333
BALLAN-MIRE,37510,7900,0.616667,47.3333
SAINT-MARCELLIN,38160,7900,5.31667,45.15
LA RICAMARIE,42150,7900,4.36667,45.4
VILLARS,42390,7900,4.35,45.4667
BASSE-GOULAINE,44115,7900,-1.43333,47.2167
INGRE,45140,7900,1.81667,47.9167
CHATEAUNEUF-SUR-LOIRE,45110,7900,2.23333,47.8667
HOMBOURG-HAUT,57470,7900,6.76667,49.1333
PERENCHIES,59840,7900,2.96667,50.6667
LA CHAPELLE-D'ARMENTIERES,59930,7900,2.9,50.6833
MARGNY-LES-COMPIEGNE,60280,7900,2.81667,49.4333
WISSEMBOURG,67160,7900,7.95,49.0333
GRETZ-ARMAINVILLIERS,77220,7900,2.73333,48.7333
LE THOR,84250,7900,5,43.9333
SAINT-JEAN-DE-MONTS,85160,7900,-2.06667,46.7833
COUZEIX,87270,7900,1.23333,45.8667
BANDRELE,97620,7885,45.1944,-12.9143
MTSAMBORO,97630,7805,45.0676,-12.7008
DIVONNE-LES-BAINS,1220,7800,6.13333,46.3667
FERNEY-VOLTAIRE,1210,7800,6.11667,46.25
PEYMEINADE,6530,7800,6.88333,43.6333
CASSIS,13260,7800,5.53333,43.2167
SAINT-CHAMAS,13250,7800,5.03333,43.55
TONNAY-CHARENTE,17430,7800,-0.9,45.95
AUXONNE,21130,7800,5.38333,47.2
PAIMPOL,22500,7800,-3.05,48.7667
CREST,26400,7800,5.03333,44.7333
PLABENNEC,29860,7800,-4.43333,48.5
AUCAMVILLE,31140,7800,1.43056,43.6687
SAINT-LOUBES,33450,7800,-0.433333,44.9167
MOIRANS,38430,7800,5.56667,45.3333
CAPBRETON,40130,7800,-1.43333,43.6333
ESSEY-LES-NANCY,54270,7800,6.23333,48.7
AUREILHAN,65800,7800,0.1,43.25
GUEUGNON,71130,7800,4.06667,46.6
SAINT-SULPICE,81370,7800,1.68639,43.7742
AIZENAY,85190,7800,-1.61667,46.7333
SAINT-PIERRE-DU-PERRAY,91280,7800,2.5,48.6167
PIERRELAYE,95480,7800,2.16667,49.0167
VIEUX-HABITANTS,97119,7703,16.0535,-61.7636
RETHEL,8300,7700,4.36667,49.5167
CROZON,29160,7700,-4.48333,48.25
ERGUE-GABERIC,29500,7700,-4.03333,48
CARHAIX-PLOUGUER,29270,7700,-3.58333,48.2833
SEYSSES,31600,7700,1.31667,43.5
MARSEILLAN,34340,7700,3.53333,43.35
LE RHEU,35650,7700,-1.8,48.1
CHARVIEU-CHAVAGNEUX,38230,7700,5.16389,45.7456
VIZILLE,38220,7700,5.76667,45.0833
LA TOUR-DU-PIN,38110,7700,5.45,45.5667
BEAUGENCY,45190,7700,1.63333,47.7833
TOMBLAINE,54510,7700,6.21667,48.6833
WAZIERS,59119,7700,3.11667,50.3833
FRESNES-SUR-ESCAUT,59970,7700,3.58333,50.4333
NIEPPE,59850,7700,2.83333,50.7
WAVRIN,59136,7700,2.91667,50.5667
ACHICOURT,62217,7700,2.76667,50.2667
CEBAZAT,63118,7700,3.1,45.8333
CERET,66400,7700,2.75,42.4833
GLEIZE,69400,7700,4.68333,45.9833
BOURG-SAINT-MAURICE,73700,7700,6.76667,45.6167
SAINTE-ADRESSE,76310,7700,0.083333,49.5
QUINCY-SOUS-SENART,91480,7700,2.53333,48.6667
MARCOUSSIS,91460,7700,2.23333,48.6333
LE PLESSIS-BOUCHARD,95130,7700,2.23333,49
TROIS-ILETS,97229,7627,14.5275,-61.0383
LA COLLE-SUR-LOUP,6480,7600,7.1,43.6833
EGUILLES,13510,7600,5.36667,43.5667
TREGUEUX,22950,7600,1.26195,48.4906
TULLINS,38210,7600,5.48333,45.3
CLAIX,38640,7600,5.66667,45.1167
SORBIERS,42290,7600,4.45,45.4833
FEURS,42110,7600,4.23333,45.75
TREILLIERES,44119,7600,-1.63333,47.3333
SAINT-PHILBERT-DE-GRAND-LIEU,44310,7600,-1.63333,47.0333
SAINT-NICOLAS-DE-PORT,54210,7600,6.3,48.6333
AUBY,59950,7600,03.05,50.4167
BARLIN,62620,7600,2.61667,50.45
HOUDAIN,62150,7600,2.53333,50.45
BOUCAU,64340,7600,-1.5,43.5333
ELNE,66200,7600,2.96667,42.6
WINTZENHEIM,68920,7600,7.28333,48.0667
NANGIS,77370,7600,3,48.55
BEYNES,78650,7600,1.86667,48.85
ENTRAIGUES-SUR-LA-SORGUE,84320,7600,4.92667,44.0031
BOUILLANTE,97132,7545,16.172,-61.7263
LORRAIN,97214,7526,14.8329,-61.0556
SALAZIE,97433,7510,-21.0269,55.5391
REVIN,8500,7500,4.63333,49.9333
SAINT-JEAN-D'ANGELY,17400,7500,-0.516667,45.95
GUINGAMP,22200,7500,-3.15,48.55
THOUARE-SUR-LOIRE,44470,7500,-1.45,47.2667
ANCENIS,44150,7500,-1.16667,47.3667
DOUE-LA-FONTAINE,49700,7500,-0.283333,47.2
SARZEAU,56370,7500,-2.76667,47.5333
TALANGE,57525,7500,6.18333,49.25
HETTANGE-GRANDE,57330,7500,6.15,49.4
HOUPLINES,59116,7500,2.91667,50.7
MAZINGARBE,62670,7500,2.7,50.4667
BELLEVILLE,69220,7500,4.75,46.1083
LUXEUIL-LES-BAINS,70300,7500,6.38333,47.8167
MONTEVRAIN,77144,7500,2.75,48.8667
LESIGNY,77150,7500,2.61667,48.7333
SAINT-MAIXENT-L'ECOLE,79400,7500,-0.2,46.4167
MORIERES-LES-AVIGNON,84310,7500,4.90473,43.9417
ISLE,87170,7500,1.21667,45.8167
BORGO,20290,7500,9.42751,42.5539
RUELLE-SUR-TOUVRE,16600,7400,0.233333,45.6833
GUILERS,29820,7400,-4.56667,48.4333
GRENADE,31330,7400,1.29361,43.7722
LANGON,33210,7400,-0.25,44.55
PAREMPUYRE,33290,7400,-0.583333,44.95
LEGE-CAP-FERRET,33950,7400,0.853612,44.7931
CLERMONT-L'HERAULT,34800,7400,3.43333,43.6167
MABLY,42300,7400,4.06667,46.0833
WIMEREUX,62930,7400,1.61667,50.7667
VENDIN-LE-VIEIL,62880,7400,2.86667,50.4667
MOURENX,64150,7400,-0.6,43.3833
THUIR,66300,7400,2.75,42.6333
NEUVILLE-SUR-SAONE,69250,7400,4.85,45.8667
COULAINES,72190,7400,0.2,48.0167
VILLE-LA-GRAND,74100,7400,6.25,46.2
EU,76260,7400,1.41667,50.05
LE POIRE-SUR-VIE,85170,7400,-1.51667,46.7667
MIGENNES,89400,7400,3.51667,47.9667
ECOUEN,95440,7400,2.38333,49.0167
SAINT-PRIX,95390,7400,2.26667,49.0167
MEXIMIEUX,1800,7300,5.2,45.9
SISTERON,4200,7300,5.93333,44.2
SAINT-PERAY,7130,7300,4.83333,44.95
BOURG-SAINT-ANDEOL,7700,7300,4.65,44.3667
SAUSSET-LES-PINS,13960,7300,5.11667,43.3333
MALEMORT-SUR-CORREZE,19360,7300,1.55,45.1667
PERROS-GUIREC,22700,7300,-3.45,48.8167
SAINT-RENAN,29290,7300,-4.61667,48.4333
FROUZINS,31270,7300,1.31667,43.5167
LODEVE,34700,7300,3.31667,43.7167
LE CRES,34920,7300,3.93333,43.65
VILLARD-BONNOT,38190,7300,5.88333,45.2333
PONTCHARRA,38530,7300,6.01667,45.4333
LES SORINIERES,44840,7300,-1.53333,47.15
NORT-SUR-ERDRE,44390,7300,-1.5,47.4333
LANGUIDIC,56440,7300,-3.16667,47.8333
UCKANGE,57270,7300,6.15,49.3
AULNOY-LEZ-VALENCIENNES,59300,7300,3.53,50.3314
PIA,66380,7300,2.91667,42.75
SOULTZ-HAUT-RHIN,68360,7300,7.23333,47.8833
EMERAINVILLE,77184,7300,2.61667,48.8167
LOUVECIENNES,78430,7300,2.11667,48.8667
BORMES-LES-MIMOSAS,83230,7300,6.33333,43.15
AVALLON,89200,7300,3.9,47.4833
BALLANCOURT-SUR-ESSONNE,91610,7300,2.38556,48.5256
LAGORD,17140,7200,-1.13333,46.1833
CONDOM,32100,7200,0.366667,43.9667
BAIN-DE-BRETAGNE,35470,7200,-1.68333,47.8333
GUICHEN,35580,7200,-1.8,47.9667
SAINT-VINCENT-DE-TYROSSE,40230,7200,-1.3,43.6667
TRIGNAC,44570,7200,-2.18333,47.3167
SAVENAY,44260,7200,-1.95,47.3667
SAINT-DENIS-EN-VAL,45560,7200,1.95,47.8833
VALOGNES,50700,7200,-1.46667,49.5167
TETEGHEM,59229,7200,2.43333,51.0167
FEIGNIES,59750,7200,3.91667,50.3
LIANCOURT,60140,7200,2.46667,49.3333
DIVION,62460,7200,2.5,50.4667
BOMPAS,66430,7200,2.93333,42.7333
SOUFFELWEYERSHEIM,67460,7200,7.73333,48.6333
LA RAVOIRE,73490,7200,5.96667,45.55
SAINT-GILLES-CROIX-DE-VIE,85800,7200,-1.93944,46.6983
LA VILLE-DU-BOIS,91620,7200,2.26667,48.65
PARAY-VIEILLE-POSTE,91550,7200,2.36667,48.7167
SOISY-SUR-SEINE,91450,7200,2.45,48.65
BESSANCOURT,95550,7200,2.21667,49.0333
TROIS-BASSINS,97434,7121,-21.1059,55.2952
NYONS,26110,7100,5.13333,44.3667
GAILLON,27600,7100,1.33333,49.1667
MORDELLES,35310,7100,-1.85,48.0667
SOUSTONS,40140,7100,-1.31667,43.75
LA FERTE-SAINT-AUBIN,45240,7100,1.93333,47.7167
EVRON,53600,7100,-0.4,48.1667
NEUVES-MAISONS,54230,7100,6.1,48.6167
GUENANGE,57310,7100,6.18333,49.3
LE CATEAU-CAMBRESIS,59360,7100,3.54111,50.1053
QUESNOY-SUR-DEULE,59890,7100,3,50.7167
LEFOREST,62790,7100,3.06667,50.4333
GEISPOLSHEIM,67400,7100,7.65,48.5167
ENSISHEIM,68190,7100,7.35,47.8667
NOTRE-DAME-DE-BONDEVILLE,76960,7100,01.05,49.4833
SERRIS,77700,7100,2.78333,48.85
LOUDUN,86200,7100,0.066667,47
SAINT-GERMAIN-LES-CORBEIL,91250,7100,2.48333,48.6167
L'ILE-SAINT-DENIS,93450,7100,2.33333,48.9333
CHICONI,97670,7048,45.1127,-12.8364
POINTE-NOIRE,97116,7006,16.2317,-61.7893
CARNOUX-EN-PROVENCE,13470,7000,5.56445,43.2564
LA COURONNE,16400,7000,0.1,45.6167
SAINT-YRIEIX-SUR-CHARENTE,16710,7000,0.116667,45.6833
LANGUEUX,22360,7000,-2.71667,48.5
SAINT-POL-DE-LEON,29250,7000,-3.98333,48.6833
ROSPORDEN,29140,7000,-3.83333,47.9667
LAUNAGUET,31140,7000,1.45,43.6833
L'ISLE-JOURDAIN,32600,7000,1.08333,43.6167
THORIGNE-FOUILLARD,35235,7000,0.420279,48.1598
CHARTRES-DE-BRETAGNE,35131,7000,-1.7,48.05
SEYSSINS,38180,7000,5.68333,45.15
VINEUIL,41350,7000,1.38333,47.5833
LE COTEAU,42120,7000,4.08333,46.0333
CHEMILLE,49120,7000,-0.716667,47.2167
SAINT-BERTHEVIN,53940,7000,-0.825833,48.0684
NOYELLES-SOUS-LENS,62221,7000,2.86667,50.4333
AMBERT,63600,7000,3.75,45.55
JURANCON,64110,7000,-0.383333,43.3
UGINE,73400,7000,6.41667,45.75
VERT-SAINT-DENIS,77240,7000,2.61667,48.5667
SAINT-JUERY,81160,7000,2.7,43.9167
SAINT-BENOIT,86280,7000,0.333333,46.55
SAINT-YRIEIX-LA-PERCHE,87500,7000,1.2,45.5167
NEUFCHATEAU,88300,7000,5.7,48.35
CONTES,6390,6900,7.31667,43.8167
LUISANT,28600,6900,1.48333,48.4167
MOELAN-SUR-MER,29350,6900,-3.63333,47.8167
ROCHEFORT-DU-GARD,30650,6900,4.68333,43.9667
CARBON-BLANC,33560,6900,-0.5,44.8833
LE BLANC,36300,6900,1.06667,46.6333
MONTS,37260,6900,0.616667,47.2833
MIMIZAN,40200,6900,-1.23333,44.2
YSSINGEAUX,43200,6900,4.11667,45.1333
SAUTRON,44880,6900,-1.66667,47.2667
SAINT-JULIEN-DE-CONCELLES,44450,6900,-1.38333,47.25
NERAC,47600,6900,0.35,44.1333
JOEUF,54240,6900,6.01667,49.2333
QUESTEMBERT,56230,6900,-2.46667,47.6667
BEUVRAGES,59192,6900,3.5,50.3833
SCIONZIER,74950,6900,6.56667,46.05
PUGET-SUR-ARGENS,83480,6900,6.68333,43.45
CHAUVIGNY,86300,6900,0.65,46.5667
AUVERS-SUR-OISE,95760,6900,2.16667,49.0667
SAINTE-ROSE,97439,6806,0,0
MONTLUEL,1120,6800,05.05,45.85
TREVOUX,1600,6800,4.76667,45.9333
COMMENTRY,3600,6800,2.75,46.2833
SAINT-JULIEN-LES-VILLAS,10800,6800,4.1,48.2667
PERIGNY,17180,6800,-1.08333,46.15
MEHUN-SUR-YEVRE,18500,6800,2.21667,47.15
TRELISSAC,24750,6800,0.783333,45.1833
LESNEVEN,29260,6800,-4.31667,48.5667
TREGUNC,29910,6800,-3.85,47.85
ARTIGUES-PRES-BORDEAUX,33370,6800,-0.516667,44.85
MARTIGNAS-SUR-JALLE,33127,6800,-0.766667,44.8333
MONTREUIL-JUIGNE,49460,6800,-0.611944,47.5284
LONGUE-JUMELLES,49160,6800,-0.108056,47.3781
CHAMPIGNEULLES,54250,6800,6.16667,48.7333
THEIX,56450,6800,-2.66667,47.6333
CAUDAN,56850,6800,-3.33333,47.8167
PLUVIGNER,56330,6800,-3.01667,47.7667
LOUVROIL,59720,6800,3.96667,50.2667
LOOS-EN-GOHELLE,62750,6800,2.78333,50.45
CHARNAY-LES-MACON,71850,6800,4.78333,46.3
BONSECOURS,76240,6800,1.13333,49.4333
LE MESNIL-ESNARD,76240,6800,1.15,49.4167
TALMONT-SAINT-HILAIRE,85440,6800,0.381668,46.4673
LISSES,91090,6800,2.41667,48.6
VILLEMOISSON-SUR-ORGE,91360,6800,2.31667,48.6667
CORTE,20250,6800,9.15056,42.3056
APATOU,97317,6704,5.1538,-54.342
LAGNIEU,1150,6700,5.35,45.9
LA GAUDE,6610,6700,7.15,43.7167
GIVET,8600,6700,4.81667,50.1333
LAVELANET,9300,6700,1.85,42.9333
SAINT-FLORENT-SUR-CHER,18400,6700,2.25,46.9833
LA SALVETAT-SAINT-GILLES,31880,6700,1.27139,43.5762
SAINT-JEAN-D'ILLAC,33127,6700,-0.783333,44.8167
LIFFRE,35340,6700,-1.5,48.2167
BRIOUDE,43100,6700,3.4,45.3
CLISSON,44190,6700,-1.28333,47.0833
BEAUPREAU,49600,6700,-1,47.2
FROUARD,54390,6700,6.13333,48.7667
LUDRES,54710,6700,6.16667,48.6167
PETITE-ROSSELLE,57540,6700,6.83333,49.2
BOURBOURG,59630,6700,2.2,50.95
CUINCY,59553,6700,03.05,50.3833
CIBOURE,64500,6700,-1.66667,43.3833
LE SOLER,66270,6700,2.8,42.6833
BARR,67140,6700,7.45,48.4
BLANZY,71450,6700,4.38333,46.7
GARGENVILLE,78440,6700,1.81667,49
CAVALAIRE-SUR-MER,83240,6700,6.53333,43.1667
RAON-L'ETAPE,88110,6700,6.85,48.4
LONGPONT-SUR-ORGE,91310,6700,2.28333,48.6333
SAINT-GIRONS,9200,6600,1.15,42.9833
SAINT-FLOUR,15100,6600,3.09278,45.0337
BOULAZAC,24750,6600,0.772222,45.1712
BASSENS,33530,6600,-0.516667,44.9
MIOS,33380,6600,-0.933333,44.6
BEDARIEUX,34600,6600,3.15,43.6167
SERIGNAN,34410,6600,3.28333,43.2833
LE PEAGE-DE-ROUSSILLON,38550,6600,4.8,45.3667
DOMENE,38420,6600,5.83333,45.2
SAINT-ETIENNE-DE-MONTLUC,44360,6600,-1.78333,47.2667
SEGRE,49500,6600,-0.866667,47.6833
SAINT-MACAIRE-EN-MAUGES,49450,6600,-1,47.1167
GRENAY,62160,6600,2.73333,50.45
FOUQUIERES-LES-LENS,62740,6600,2.91667,50.4333
PRADES,66500,6600,2.43333,42.6167
FAVERGES,74210,6600,6.3,45.75
LE MESNIL-SAINT-DENIS,78320,6600,1.96667,48.7333
AUSSILLON,81200,6600,2.36667,43.4833
COURDIMANCHE,95800,6600,2,49.0333
LA FARE-LES-OLIVIERS,13580,6500,5.18333,43.55
SAINT-VICTORET,13730,6500,5.23333,43.4167
SAUJON,17600,6500,-0.916667,45.6667
MORTEAU,25500,6500,6.61667,47.0667
CHABEUIL,26120,6500,5.01667,44.9
VERNEUIL-SUR-AVRE,27130,6500,0.933333,48.7333
SAINT-CHRISTOL-LES-ALES,30380,6500,4.08333,44.0833
JUVIGNAC,34990,6500,3.8,43.6167
LOCHES,37600,6500,1,47.1333
VARCES-ALLIERES-ET-RISSET,38760,6500,5.68195,45.0867
LA TALAUDIERE,42350,6500,4.43333,45.4833
DONGES,44480,6500,-2.06667,47.3
MONTOIR-DE-BRETAGNE,44550,6500,-2.15,47.3333
TERVILLE,57180,6500,6.15,49.35
TRITH-SAINT-LEGER,59125,6500,3.48333,50.3167
LALLAING,59167,6500,3.16667,50.3833
ECKBOLSHEIM,67201,6500,7.68333,48.5833
HUNINGUE,68330,6500,7.58333,47.6
LA MULATIERE,69350,6500,4.8,45.7333
OTHIS,77280,6500,2.68333,49.0833
CHAMPAGNE-SUR-SEINE,77430,6500,2.8,48.4
LE PERRAY-EN-YVELINES,78610,6500,1.85,48.7
DOULLENS,80600,6500,2.35,50.15
CAUSSADE,82300,6500,1.53333,44.1667
MONTLHERY,91310,6500,2.26667,48.6333
BOUÉNI,97620,6402,45.0799,-12.9089
PEGOMAS,6580,6400,6.93333,43.6
EYGUIERES,13430,6400,5.03333,43.7
SAINT-PIERRE-D'OLERON,17310,6400,-1.31667,45.95
LE TEICH,33470,6400,-1.01667,44.6333
BALARUC-LES-BAINS,34540,6400,3.66667,43.4333
CHATEAUGIRON,35410,6400,-1.5,48.05
SAINTE-LIVRADE-SUR-LOT,47110,6400,0.6,44.4
BETHENY,51450,6400,04.05,49.2833
HOMECOURT,54310,6400,5.98333,49.2333
COMMERCY,55200,6400,5.58333,48.75
BRECH,56400,6400,-2.98333,47.7167
ALGRANGE,57440,6400,06.05,49.35
LESQUIN,59810,6400,3.11667,50.5833
HERSIN-COUPIGNY,62530,6400,2.65,50.45
SAINT-DIDIER-AU-MONT-D'OR,69370,6400,4.8,45.8
LOUHANS,71500,6400,5.21667,46.6333
REIGNIER-ESERY,74930,6400,6.26667,46.1333
VETRAZ-MONTHOUX,74100,6400,6.26667,46.1667
SAINT-THIBAULT-DES-VIGNES,77400,6400,2.68333,48.8667
LE MESNIL-LE-ROI,78600,6400,2.12667,48.9367
CORBIE,80800,6400,2.5,49.9167
MONTMORILLON,86500,6400,0.866667,46.4333
BOUSSY-SAINT-ANTOINE,91800,6400,2.53333,48.6833
LINAS,91310,6400,2.26667,48.6333
ITTEVILLE,91760,6400,2.33333,48.5167
LIMOURS,91470,6400,2.08333,48.65
BIGUGLIA,20620,6400,9.42001,42.627
M'TSANGAMOUJI,97650,6314,45.0867,-12.7617
EMBRUN,5200,6300,6.5,44.5667
ROQUEFORT-LES-PINS,6330,6300,7.05084,43.6656
NOUZONVILLE,8700,6300,4.75,49.8167
SENAS,13560,6300,5.08333,43.75
LA PENNE-SUR-HUVEAUNE,13821,6300,5.51667,43.2833
CARRY-LE-ROUET,13620,6300,5.15,43.3333
SURGERES,17700,6300,-0.75,46.1
SAINT-APOLLINAIRE,21850,6300,5.08333,47.3333
PLOUGUERNEAU,29880,6300,-4.5,48.6
GOUESNOU,29850,6300,-4.46667,48.45
FLEURANCE,32500,6300,0.666667,43.8333
LE LOROUX-BOTTEREAU,44430,6300,-1.35,47.25
VILLEMANDEUR,45700,6300,2.7,47.9833
CHALONNES-SUR-LOIRE,49290,6300,-0.766667,47.35
LOON-PLAGE,59279,6300,2.21667,50.9833
FONTAINES-SUR-SAONE,69270,6300,4.85,45.8333
POISY,74330,6300,6.06667,45.9167
LES ESSARTS-LE-ROI,78690,6300,1.9,48.7167
EPONE,78680,6300,1.81667,48.95
VILLEFRANCHE-SUR-MER,6230,6200,7.31667,43.7
DECAZEVILLE,12300,6200,2.25,44.55
TERRASSON-LAVILLEDIEU,24120,6200,1.30194,45.1308
BELLEGARDE,30127,6200,4.51667,43.75
FABREGUES,34690,6200,3.76667,43.55
MONTFORT-SUR-MEU,35160,6200,-1.96667,48.1333
LA VERPILLIERE,38290,6200,5.15,45.6333
SAINT-ISMIER,38330,6200,5.83333,45.25
SAINT-JEAN-BONNEFONDS,42650,6200,4.45,45.45
SUCE-SUR-ERDRE,44240,6200,0.470557,47.3448
CORMONTREUIL,51350,6200,04.05,49.2167
GUER,56380,6200,-2.11667,47.9
ROOST-WARENDIN,59286,6200,3.08333,50.4167
CHATEL-GUYON,63140,6200,3.06667,45.9167
CAMBO-LES-BAINS,64250,6200,-1.4,43.3667
BRUNSTATT,68350,6200,7.31667,47.7167
SAINT-BONNET-DE-MURE,69720,6200,5.03333,45.6833
GOURNAY-EN-BRAY,76220,6200,1.73333,49.4833
ROYE,80700,6200,2.8,49.7
LES ARCS,83460,6200,6.48333,43.45
VAISON-LA-ROMAINE,84110,6200,5.06667,44.2333
ETRECHY,91580,6200,2.2,48.5
GOURNAY-SUR-MARNE,93460,6200,2.56667,48.8667
ENTRE-DEUX,97414,6133,-21.2494,55.4707
PERONNAS,1960,6100,5.2,46.1833
BOHAIN-EN-VERMANDOIS,2110,6100,3.45,49.9833
NOGENT-SUR-SEINE,10400,6100,3.5,48.4833
COURSAN,11110,6100,3.06667,43.2333
BETHONCOURT,25200,6100,6.8,47.5333
PLOUDALMEZEAU,29830,6100,-4.65,48.5333
LANTON,33138,6100,-1.03333,44.7
BAILLARGUES,34670,6100,4.01667,43.6667
PIGNAN,34570,6100,3.76667,43.5833
GRABELS,34790,6100,3.78333,43.65
ACIGNE,35690,6100,-1.53333,48.1333
LA TRONCHE,38700,6100,5.73333,45.2
RIVES,38140,6100,5.5,45.35
SAINT-QUENTIN-FALLAVIER,38070,6100,5.11667,45.6333
GIERES,38610,6100,5.78333,45.1833
AIRE-SUR-L'ADOUR,40800,6100,-0.266667,43.7
SAINT-PRIEST-EN-JAREZ,42270,6100,4.36667,45.4667
MEUNG-SUR-LOIRE,45130,6100,1.7,47.8333
MALESHERBES,45330,6100,2.41667,48.3
BEAUFORT-EN-VALLEE,49250,6100,-0.216667,47.4333
CARENTAN,50500,6100,-1.23333,49.3
LA BASSEE,59480,6100,2.8,50.5333
HASPARREN,64240,6100,-1.3,43.3833
GRAY,70100,6100,5.58333,47.45
MARIGNIER,74970,6100,6.51667,46.1
PUBLIER,74500,6100,6.55,46.3833
PAVILLY,76570,6100,0.966667,49.5667
LA VERRIERE,78320,6100,1.95,48.75
MORTAGNE-SUR-SEVRE,85290,6100,-0.95,47
VAUJOURS,93410,6100,2.56667,48.9333
SAINT PIERRE ET MIQUELON,97500,6080,46.7107,1.71819
DIAMANT,97223,6066,14.4774,-61.0346
GEMENOS,13420,6000,5.63333,43.3
BLAINVILLE-SUR-ORNE,14550,6000,-0.3,49.2333
ARPAJON-SUR-CERE,15130,6000,2.46667,44.9
GOND-PONTOUVRE,16160,6000,0.166111,45.6692
CHATELAILLON-PLAGE,17340,6000,-1.08333,46.0667
MARSILLARGUES,34590,6000,4.18333,43.6667
PALAVAS-LES-FLOTS,34250,6000,3.93333,43.5333
VEIGNE,37250,6000,0.733333,47.2833
LA MONTAGNE,44620,6000,-1.68333,47.1833
BON-ENCONTRE,47240,6000,0.683333,44.1833
LANEUVEVILLE-DEVANT-NANCY,54410,6000,6.23333,48.65
AUDUN-LE-TICHE,57390,6000,5.95,49.4667
ESTAIRES,59940,6000,2.71667,50.6333
LA FERTE-MACE,61600,6000,-0.366667,48.6
SAINS-EN-GOHELLE,62114,6000,2.68333,50.45
BIDART,64210,6000,-1.58333,43.4333
TOULOUGES,66350,6000,2.83333,42.6667
LA WANTZENAU,67610,6000,7.83333,48.6667
LUTTERBACH,68460,6000,7.28333,47.7667
L'ARBRESLE,69210,6000,4.61667,45.8333
TOURNUS,71700,6000,4.9,46.5667
CHATENOY-LE-ROYAL,71880,6000,4.8,46.7833
COURTRY,77181,6000,2.76667,48.5333
CHAMBOURCY,78240,6000,2.03333,48.9
SAINT-ARNOULT-EN-YVELINES,78730,6000,1.93333,48.5667
MONTDIDIER,80500,6000,2.56667,49.65
LABRUGUIERE,81290,6000,2.26667,43.5333
SAINT-MANDRIER-SUR-MER,83430,6000,5.93333,43.0667
MIGNE-AUXANCES,86440,6000,0.316667,46.6333
DELLE,90100,6000,7,47.5
JASSANS-RIOTTIER,1480,5900,4.75,45.9833
GANNAT,3800,5900,3.2,46.1
COLOMBELLES,14460,5900,-0.3,49.2
DIVES-SUR-MER,14160,5900,-0.1,49.2833
AUBIGNY-SUR-NERE,18700,5900,2.43333,47.4833
PLEDRAN,22960,5900,-2.75,48.45
SELONCOURT,25230,5900,6.86667,47.4667
TAIN-L'HERMITAGE,26600,5900,4.85,45.0667
AUSSONNE,31840,5900,1.31667,43.6833
SALLES,33770,5900,-0.869444,44.552
CHATEAUBOURG,35220,5900,-1.4,48.1167
MER,41500,5900,1.5,47.7
SAINTE-SIGOLENE,43600,5900,4.25,45.2333
BOUCHEMAINE,49080,5900,-0.6,47.4167
HEILLECOURT,54180,5900,6.2,48.65
LIVERDUN,54460,5900,06.05,48.75
MONDELANGE,57300,5900,6.16667,49.2667
FAREBERSVILLER,57450,5900,6.85,49.1167
PECQUENCOURT,59146,5900,3.21667,50.3833
LA GORGUE,59253,5900,2.7,50.6333
VILLERS-SAINT-PAUL,60870,5900,2.48333,49.2833
COURCELLES-LES-LENS,62970,5900,3.01667,50.4167
CALONNE-RICOUART,62470,5900,2.48333,50.4833
SAINT-REMY,71100,5900,4.83333,46.7667
CHANGE,72560,5900,0.283333,47.9833
SAINT-PIERRE-EN-FAUCIGNY,74800,5900,6.37251,46.0598
AMBILLY,74100,5900,6.22417,46.195
MALAUNAY,76770,5900,1.03333,49.5333
NANDY,77176,5900,2.56667,48.5833
MAULE,78580,5900,1.85,48.9167
LE PALAIS-SUR-VIENNE,87410,5900,1.31667,45.8667
MIRECOURT,88500,5900,6.13333,48.3
CILAOS,97413,5807,-21.1367,55.4697
MALLEMORT,13370,5800,5.18333,43.7333
SIMIANE-COLLONGUE,13109,5800,5.43333,43.4167
BOUILLARGUES,30230,5800,4.43333,43.8
SAINT-AUBIN-DE-MEDOC,33160,5800,-0.716667,44.75
NOYAL-CHATILLON-SUR-SEICHE,35230,5800,0.342501,48.0434
LE POINCONNET,36330,5800,1.71667,46.7667
MACHECOUL,44270,5800,-1.81667,47
BOUAYE,44830,5800,-1.7,47.15
ERNEE,53500,5800,-0.933333,48.3
INZINZAC-LOCHRIST,56650,5800,2.73306,47.8437
MARANGE-SILVANGE,57159,5800,6.1,49.2167
DECIZE,58300,5800,3.46667,46.8333
QUIEVRECHAIN,59920,5800,3.66667,50.3833
