ville_nom,ville_code_postal,ville_population_2012,ville_longitude_deg,ville_latitude_deg
NARBONNE,11100,51000,3,43.1833
CHARLEVILLE-MEZIERES,8090,50900,4.71667,49.7667
LAVAL,53000,50900,-0.766667,48.0667
EVREUX,27000,50800,1.15,49.0167
SEVRAN,93270,50800,2.53333,48.9333
LE BLANC-MESNIL,93150,50700,2.45,48.9333
BELFORT,90000,50300,6.86667,47.6333
ANNECY,74000,50100,6.11667,45.9
BRIVE-LA-GAILLARDE,19100,49700,1.53333,45.15
CAGNES-SUR-MER,6800,48900,7.15,43.6667
ALBI,81990,48800,2.15,43.9333
MEAUX,77100,48700,2.86667,48.95
SAINT-MALO,35400,48200,-2.01667,48.65
VINCENNES,94300,48100,2.43333,48.85
BOBIGNY,93000,47700,2.45,48.9
CARCASSONNE,11000,47600,2.35,43.2167
BLOIS,41000,46800,1.33333,47.5833
MONTROUGE,92120,46700,2.31667,48.8167
MARTIGUES,13117-13500,46500,05.05,43.4
AUBAGNE,13400,46100,5.56667,43.2833
CHALONS-EN-CHAMPAGNE,51000,46100,4.36667,48.9583
CHATEAUROUX,36000,46000,1.7,46.8167
CHALON-SUR-SAONE,71100,46000,4.85,46.7833
SAINT-BRIEUC,22000,45900,-2.78333,48.5167
SURESNES,92150,45600,2.23333,48.8667
SAINT-OUEN,93400,45600,2.33333,48.9
MEUDON,92190-92360,44700,2.24167,48.8083
ALFORTVILLE,94140,44700,2.41667,48.8
BAYONNE,64100,44500,-1.48333,43.4833
PUTEAUX,92800,44500,2.23333,48.8667
TARBES,65000,44200,0.083333,43.2333
BOULOGNE-SUR-MER,62200,43800,1.61667,50.7167
BASTIA,20200-20600,43500,9.44945,42.7
SAINT-HERBLAIN,44800,43200,-1.65,47.2167
ANGOULEME,16000,43100,0.15,45.65
CASTRES,81100,43000,2.25,43.6
SETE,34200,42800,3.68333,43.4
ARRAS,62000,42800,2.78333,50.2833
VALENCIENNES,59300,42700,3.53333,50.35
ISTRES,13118-13800,42600,4.98333,43.5167
MANTES-LA-JOLIE,78200,42600,1.71667,48.9833
DOUAI,59500,42400,3.06667,50.3667
WATTRELOS,59150,41800,3.21667,50.7
GENNEVILLIERS,92230,41800,2.3,48.9333
LIVRY-GARGAN,93190,41800,2.55,48.9167
CORBEIL-ESSONNES,91100,41700,2.48333,48.6
COMPIEGNE,60200,41600,2.83333,49.4167
SAINT-PRIEST,69800,41500,4.93333,45.6917
SALON-DE-PROVENCE,13300,41400,5.1,43.6333
THIONVILLE,57100,41100,6.16667,49.3667
LE CANNET,6110,40900,7.01667,43.5667
CALUIRE-ET-CUIRE,69300,40900,4.85,45.8
SAINT-GERMAIN-EN-LAYE,78100,40900,2.08333,48.9
ROSNY-SOUS-BOIS,93110,40800,2.48333,48.8667
TALENCE,33400,40600,-0.6,44.8167
ALES,30100,40500,4.08333,44.1333
MASSY,91300,40500,2.28333,48.7333
VAULX-EN-VELIN,69120,40400,4.93333,45.7833
BOURG-EN-BRESSE,1000,40200,5.21667,46.2
CHERBOURG-OCTEVILLE,50100-50130,39800,-1.65,49.65
GARGES-LES-GONESSE,95140,39600,2.41667,48.9667
MONTLUCON,3100,39500,2.6,46.3333
LAMENTIN,97232,39360,14.6191,-60.9946
CHARTRES,28000,39200,1.5,48.45
BRON,69500,39100,4.91667,45.7333
MARCQ-EN-BAROEUL,59700,38900,3.08333,50.6667
MELUN,77000,38900,2.66667,48.5333
NOISY-LE-SEC,93130,38700,2.46667,48.8833
GAP,5000,38600,6.08333,44.5667
BAGNEUX,92220,38500,2.3,48.8
PORT,97420,38418,-20.9348,55.2987
SAINT-LAURENT-DU-MARONI,97320,38367,5.28697,-53.7897
GAGNY,93220,38300,2.53333,48.8833
CHOISY-LE-ROI,94600,38200,2.41667,48.7667
REZE,44400,37900,-1.56667,47.2
ANGLET,64600,37900,-1.53333,43.4833
NEVERS,58000,37600,3.16667,46.9833
POISSY,78300,37500,02.05,48.9333
SAVIGNY-SUR-ORGE,91600,37300,2.35,48.6667
SAINT MARTIN,97150,36979,18.0913,-63.0829
AUXERRE,89000-89290,36900,3.56667,47.8
LA COURNEUVE,93120,36900,2.38333,48.9167
VITROLLES,13127,36600,5.25,43.4667
DRAGUIGNAN,83300,36600,6.46667,43.5333
LENS,62300,36100,2.83333,50.4333
SAINT-JOSEPH,97480,35976,0,0
ROANNE,42300,35900,4.06889,46.0367
JOUE-LES-TOURS,37300,35800,0.666667,47.35
VILLEPINTE,93420,35800,2.53333,48.9667
ECHIROLLES,38130,35700,5.71667,45.1333
SAINT-MARTIN-D'HERES,38400,35600,5.76667,45.1667
SAINT-CHAMOND,42400,35500,4.5,45.4667
TREMBLAY-EN-FRANCE,93290,35500,2.57639,48.9562
HAGUENAU,67500,35100,7.78333,48.8167
SAINT-BENOIT,97470,35063,-21.0396,55.6972
MONTELIMAR,26200,34800,4.75,44.5667
PONTAULT-COMBAULT,77340,34800,2.60528,48.7984
CONFLANS-SAINTE-HONORINE,78700,34800,2.1,48.9833
SIX-FOURS-LES-PLAGES,83140,34800,5.83945,43.0934
CREIL,60100,34600,2.48333,49.2667
STAINS,93240,34600,2.38333,48.95
MACON,71870,34300,4.83333,46.3
VILLEFRANCHE-SUR-SAONE,69400,34200,4.71667,45.9833
MONTIGNY-LE-BRETONNEUX,78180,34000,2.03333,48.7667
SAINT-RAPHAEL,83700-83530,34000,6.76667,43.4167
SAINTE-GENEVIEVE-DES-BOIS,91700,34000,2.33333,48.6333
BAGNOLET,93170,34000,2.41667,48.8667
MARIGNANE,13700,33900,5.21667,43.4167
LA CIOTAT,13600,33800,5.6,43.1667
DIEPPE,76200,33600,1.08333,49.9333
CHATELLERAULT,86100,33500,0.533333,46.8
ROMANS-SUR-ISERE,26100,33400,05.05,45.05
COLOMIERS,31770,33200,1.35,43.6167
AGEN,47000,33200,0.633333,44.2
NEUILLY-SUR-MARNE,93330,33200,2.53333,48.85
FRANCONVILLE,95130,33200,2.23333,48.9833
EPINAL,88000,33000,6.45,48.1833
